Countries,"Parties to the WTO agreement
Poland ,Yes,,always,always,always,always,always,always,always,always,upon request,not available,,Magdalena Siowanowicz,eePaństwo Foundation,Yes,http://bzp0.portal.uzp.gov.pl/index.php?ogloszenie=browser,"Paper files, Digital files (online)","Text file formats (TXT, DOC, ODT, etc.), PDFs",Always available as bulk data ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Yes,Yes,http://isap.sejm.gov.pl/DetailsServlet?id=WDU20072231655,,,No,-,,,,,,,,,ePanstwo
Spain,Yes,,always,always,always,always,always,always,always,always,always,not available,,Eva Belmonte,Civio,"Yes, but it's incomplete and does not include all tender documents",www.contrataciondelestado.es,Digital files (online),PDFs,Individual documents only,Always,Always,Always,Never,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Yes ,No,http://www.boe.es/buscar/act.php?id=BOE-A-2011-17887&p=20130223&tn=2,No,"We (euroalert.net) have been active since 2009 in promoting the release of public procurement data as open data at a EU level. You can find further information in euroalert blog:
- http://en.blog.euroalert.net/search/label/Open%20data

Some resources contributed by euroalert:
- http://euroalert.net/en/help_tenders_opendata_contributions_authorities.aspx
- http://156.35.82.103/moldeas-web/
- http://showmethetenders.net",Yes,None,Members from two different countries submitted responses.,,,,,,,,"Civio, Access Info Europe"
Ukraine,No,,always,always,always,always,always,always,always,upon request,not available,not available,,Oleksiy Shalayskiy,"NGO ""Nashi Groshi""","Yes, but it`s incomplete and does not include all tender documents. ",https://tender.me.gov.ua/,"Paper files, Digital files (online)","Text file formats (TXT, DOC, ODT, etc.), PDFs",Individual documents only,Always,Always,Always,Never,Always,Always,Always,Upon request,Always,Never,Never,Never,No,,http://zakon3.rada.gov.ua/laws/show/2289-17,http://z.texty.org.ua/,,Yes,Establishment of a mechanism for electronic governmental procurement with a view to ensure transparency and integrity of governmental procurement.,,,,,,,,,Center UA
United Kingdom,Yes,,always,always,not available,always,always,not available,always,sometimes,not available,not available,,Ian Makgill,Ticon,"Yes, but it`s incomplete and does not include all tender documents. ",http://ted.europa.eu/TED/main/HomePage.do,Digit files (onlline),"Machine readable formats (CSV, XML, JSON, etc.)",Some documents are available as bulk data,Always,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never ,Upon request,Sometimes,Upon request,Yes ,No,http://procurement.cabinetoffice.gov.uk/policy-capability/latest-policy-and-regulations/public-procurement-policy,No,"We're building an opendata portal which will publish all of the EU procurement data. We're launching a private beta in a couple of weeks, if you're interested to join the beta, please contact me via email.",Yes,Altered procurement rules to ensure that data created by government is stored in IT systems which minimise the cost and difficulty of publishing data online;,,,,,,,,,OKFN
Germany ,Yes,,always,always,sometimes,sometimes,not available,sometimes,not available,not available,not available,not available,,Friedrich Lindenberg,Knight-Mozilla,No,http://www.evergabe-online.de/,"Paper files, Digital files (online)","Text file formats (TXT, DOC, ODT, etc.), PDFs",Individual documents only,Always,Always ,Always,Sometimes,Sometimes ,Always,Upon request,Sometimes,Upon request,Always ,Sometimes,Upon request,Yes,No,http://dejure.org/gesetze/VgV,No,Some of the inconsistencies in the Answers are caused by federal differences & inconsistencies between the types of data covered by EU regulation and those that are only subject to national/state law.,No,-,,,,,,,,,Friedrich Lindenberg (OKFN)
Netherlands ,Yes,,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,not available,,Brugman,InQuest,Yes,www.tenderned.nl,Digital files (online),"Text file formats (TXT, DOC, ODT, etc.), PDFs",Always available as bulk data,Always,Always,Always,Sometimes,Sometimes,Always,Always,Always,Always,Sometimes,Sometimes,Never,Yes,No,http://www.rijksoverheid.nl/onderwerpen/aanbesteden,www.pianoo.nl,,Yes,None,,,,,,,,,Openstate.eu
United States ,Yes,,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,not available,upon request,sometimes,,Kaitlin Devine,Sunlight Foundation,"Yes, but it's incomplete and does not include all tender documents. ",fbo.gov,Digital files (not online) ,"HTML, CSV for awarded procurements",Some documents are available as bulk data,Always,Always,Upon request,Never,Sometimes,Always,Sometimes,Upon request,upon request,Sometimes,Sometimes,Upon request,Yes ,Yes,http://www.acquisition.gov/far/,influenceexplorer.com,,Yes,None,,,,,,,,,Sunlight Foundation
Greece ,Yes,,always,always,always,always,sometimes,always,sometimes,always,not available,not available,,Elsa Adimantidou,Public Procurement Monitoring Units,"Yes, but it's incomplete and dont not include all tender documents",www.promitheus.gov.gr,"Paper files, Digital files (online), Official Journal","Text file formats (TXT, DOC, ODT, etc.)",Individual documents only,Always,Always ,Always,Upon request,Always,Never,Always,Never,Upon request,Sometimes,Always,Always,Yes ,No,www.ggde.gr,,One other source available,Yes,"Operate e-procurement information system: The Greek government has acquired the necessary e-procurement information system, in order to unify and centrally manage the procurement process for all ministries. The software is currently being installed, while at the same time a business process re-engineering project is running. In one year the system will be operational covering part of project scope. In two years the system will be fully operational, covering all ministries.
Publicize Public Sector procurement information: Information pertaining to the procurement cycle of all public sector entities and organization will be posted to a pre-specified site (agora.gov.gr). The information recording will start from the initial expression of necessity and will continue up to the moment of procurement completion and payment.",Members from two different countries submitted responses.,,,,,,,,TI Greece
Colombia,No,,-,-,-,-,-,-,-,-,-,-,,,CORPORACIÓN TRANSPARENCIA POR COLOMBIA,Yes,"http://rop3-app1.aop.bg:7778/portal/page?_pageid=173,1082251&_dad=portal&_schema=PORTAL",Digital files (online),PDFs,Individual documents only ,Always,Always,Sometimes,Upon request,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Yes,No,"http://rop3-app1.aop.bg:7778/portal/page?_pageid=173,1106253&_dad=portal&_schema=PORTAL",http://www.transparenciacolombia.org.co/index.php?option=com_content&view=article&id=88&Itemid=497,,Yes,"Efficient procurement. As a means for greater transparency and efficiency in public contracts, and given the recent creation of the agency  Colombia  Compra Eficiente, public policy mechanisms and instruments will be implemented  to organize and articulate public procurement, establish reference prices,  and determine price framework agreements, amongst other things.",,,,,,,,,Transparencia por Colombia
Czech Republic ,Yes,,always,always,always,always,always,always,sometimes,sometimes,sometimes,sometimes,,Jitka Novakova,Transparency International - Czech Republic,"Yes, but it`s incomplete and does not include all tender documents. ",http://www.vestnikverejnychzakazek.cz/,"Digital files (not online), Digital files (online)","Text file formats (TXT, DOC, ODT, etc.), PDFs, xls",Some documents are available as bulk data,Upon request,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Upon request,Upon request,Sometimes,Sometimes,Sometimes,Yes,Yes,http://www.portal-vz.cz/cs/Jak-na-zadavani-verejnych-zakazek/Legislativa-a-,No,"Some of the inconsistencies in the Answers are caused by federal differences & inconsistencies between the types of data covered by EU regulation and those that are only subject to national/state law.

This is somewhat best effort, it may be worth pinging http://www.vergabeblog.de/ to get a better sense of the procedures - even though I doubt they are very data-savy.",Yes,"Major advances were made in rendering public administration processes in the Czech Republic more transparent in 2011 through the implementation of one of the Strategy tasks relating to the fairness of public procurement by strengthening the transparency of, and equal access to, public tenders. The goal was also to ensure access to information during the entire public procurement process (including identifying processes where the public can participate in decision-making), from the drafting of the tender to the evaluation of whether the contract has been fulfilled, etc.  ",,,,, http://www.vsechnyzakazky.cz/. ,,,,Transparency International Czech Republic
Hungary ,Yes,,always,always,always,always,always,always,always,always,always,always,,Sandor Lederer,K-monitor,"Yes, but it's incomplete and does not include all tender documents",www.kozbeszerzes.hu,"Paper files, Digital files (online)","Text file formats (TXT, DOC, ODT, etc.), PDFs",Individual documents only,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Yes,No,http://net.jogtar.hu/jr/gen/hjegy_doc.cgi?docid=A1100108.TV,ahalo.hu,,No,-,,,,,ahalo.hu (not launched yet),,,,K-Monitor
Bulgaria,Yes,,-,-,-,-,-,-,-,-,-,-,,Kalin Slavov,Transparency International - Bulgaria,Yes,"http://rop3-app1.aop.bg:7778/portal/page?_pageid=173,1082251&_dad=portal&_schema=PORTAL","Paer files, Digital Files (online)",PDFs ,Individual documents only,Always,Always,Always,Sometimes,Always,Upon request,Upon request,Sometimes,Never,Sometimes,Upon request,Never,No,,"http://rop3-app1.aop.bg:7778/portal/page?_pageid=173,1106253&_dad=portal&_schema=PORTAL",http://integrity.transparency.bg/bg/biala-kniga/,,Yes,"Public Procurement Portal – centralized information system (www.aop.bg)
This site provides public access to all aspects of public procurement by applying publicity and transparency practices.",,,,,,,,,TI Bulgaria
Uganda,,,,,,,,,,,,,,Joseph Elunya,media initiative for open government in Uganda,No,,Not published,,Not available at all,Sometimes,Upon Request,Never,Upon request,,Upon request,Upon request,Upon request,Never,Never,,Never,No,No,,,There's very limited open data currently in uganda,,,,,,,,,,,
Armenia,Yes,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"To ensure transparency, accountability and lawfulness of public procurement, the government embarked on improving further the existing procurement system and enhancing the institutional capacity of public procurement bodies. It is planned to introduce a reporting system by the authorized body to disclose more detailed information  about procurements made by contracting entities.  Additionally, to minimize the risks of conflicts of interests and exercise better control over compliance with public procurement procedures, it is planned to develop code of conduct for procurement officials. Meanwhile, continuous training and development programs will be developed and introduced. Also, by the end of 2013 it is planned to fully implement and ensure effective use of e-procurement systems to enhance transparency and competition in public procurement. The official websites www.gnumner.am and www.armeps.am will be improved in order to function more effectively and provide complete information on procurement procedures.",,,,,,,,,TI Armenia
Cyprus,Yes,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,No,-,,,,,,,,,Transparency Cyrpus
El Salvador,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Commitments in Spanish. 
""When the current government took office in 2009, the executive leadership, citizenship had only the Law on Procurement and Contracts Public Administration (LACAP) and the Ethics in Government Act (LEG) and legal mechanisms to demand transparency. It is clear that while these laws are important, are insufficient to achieve effectiveness in achieving its purpose of reducing corruption and creating accountability. Under this assumption, the current government in an effort to complement these instruments, has been developing a series of new procedures and tools (see attached document ""Steps and tools anticorruption and transparency implemented by the Government of President Mauricio Funes in the period 2009 to 2011""",,,,,,,,,?
Guatemala,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,"This is somewhat best effort, it may be worth pinging http://www.vergabeblog.de/ to get a better sense of the procedures - even though I doubt they are very data-savy.",Yes,Commitments in Spanish,,,,,,,,,TI Guatemala
Honduras,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Commitments in Spanish,,,,,,,,,?
Hong Kong,Yes,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,No,-,,,,,,,,,?
Indonesia,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Government procurement has been identified as a high risk corruption area by Corruption Eradication Commission (KPK). Number of complaints and disputes in procurement are high due to processes that are not transparent and lack of procurement monitoring by the public. ,,,,,,,,,TI Indonesia
Jordan,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Enhancing e-services: E-Government (e-government portal), E-Procurement and E-Services.
",,,,,,,,,?
Kenya,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Transparency is a high priority for the Kenyan Government. Transparency must be encouraged in both national and local governments, especially in development projects and project expenditures. Large amounts of funds are returned to Treasury every fiscal year due to lack of efficiency. Kenya is working to improve public finance management in the hope of strengthening systems of procurement and spending.",,,,,,,,,Open Institute Kenya
Latvia,Yes,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Information on the announced public procurement,  contracts awarded and other related information is also available on the internet.",,,,,,,,,TI Latvia
Liechtenstein,Yes,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,No,-,,,,,,,,,?
Lithuania,Yes,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,None,,,,,,,,,TI Lithuania
Macedonia,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Continue the good record in transparency and openness of eprocurement and standardize the data to be qualified as open ,,,,,,,,,TI Macedonia
Malta,Yes,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Implementing a Government-wide eProcurement system. Procurement procedures should incorporate a balance between simplification, transparency and accountability. This could be achieved through better use of electronic means and more openness in tender evaluation.",,,,,,,,,?
Moldova,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Common Procurement Vocabulary  – In 2011 the Government of Moldova adopted a  Regulation on the Common Procurement Vocabulary. In August 2012, The Public Procurement Agency will start implementing the regulation according to a strategy currently being elaborated. This will ensure the respect of principles of an efficient use of public resources as well as it will consolidate public procurement transparency.
Developing the public procurement application. An application based on the digital archive of the public procurement data will be developed and launched to promote a better understanding and greater transparency of public procurements. 
Increasing transparency of public procurement. Implementation of e-procurement in the public sector
 Transparent information on public procurement. All the complete annual procurement plans, individual procurement notices, and information on attribution and signing of contracts will be published online on time with free access for all citizens. 
· Public Procurement Agency, Central public administration authorities, State Chancellery II Trimester III, 2012
 Developing the State Registry of Public Procurement. The Electronic Information System ""State Registry of Public Procurement"" will be developed and piloted. The Assistance Center for Procurement Agency will be established to strengthen capacity of using the electronic information system. Additionally, relevant public servants and users of e-procurement will be trained on the procedures on how to use this procurementinformation system and indicators and methodology for transparency of public procurement will be  developed. The legal framework will be adjusted to allow for electronic procurement. ",,,,,,,,,TI Moldova
Mongolia,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,No,-,,,,,,,,,?
Montenegro,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Public procurement  – Regulatory framework has been improved by the adoption of the Law on Public Procurement aimed at full harmonisation with European standards in the area of public procurement and full efficiency, competitiveness and transparency of the public procurement procedure. In view of improving the procedure for corruption reporting to the Public Procurement Directorate by third parties, campaigns and seminars are continuously organised, and a hotline for corruption reporting has been open. In order to provide for the access to all relevant documents the website of the Public Procurement Directorate and portal of the Public Procurement Administration are regularly updated, on daily basis and all relevant documents (invitations, plans, decisions, contracts and annexes to contracts) are posted on www.ujn.gov.me.  The control of the public procurement procedure and particularly the negotiating procedure still remains a challenge. 

Public procurement  Help desk (...)

Activity “how corruption distorts the public procurement process” (...)

Establishing central public procurement bodies (...)

Electronic public procurement system – A conceptual design for the project of assistance, within a framework agreement to be financed by the Delegation of the European Commission to  Montenegro called “Strengthening of the Public Procurement System in Montenegro” is submitted, covering improvement of the Law on Public Procurement in the segment of municipal services sector, institutional framework and strengthening administrative capacities of the Public Procurement Administration (trainings), consolidation of public procurements or implementation of the public procurement procedure by another contracting authority, as well as a solution for development of the technical specification geared towards the introduction of an electronic public procurement system.",,,,,,,,,MANS
Paraguay,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Commitments in Spanish,,,,,,,,,?
Peru,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Commitments in Spanish,,,,,,,,,TI Peru
Philippines,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Electronic Procurement – The Philippine Government Electronic Procurement System (PhilGEPS), which started in 2000, is mandated by law as the central electronic portal for government procurement. Key features of PhilGEPS at present include an electronic bulletin board for posting of procurement activities, notices and awards; a registry of more than 47,000 suppliers; automatic bid matching of opportunities with possible suppliers; and a virtual store of common-use supplies available from the Procurement Service, the government’s bulk buyer.",,,,,,,,,TI Philippines
Romania,Yes,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"The Public Procurement Electronic System (SEAP): The SEAP portal will expand in order to technically integrate the legal provisions governing the public – private partnership. By assuming this commitment, the Government intends to bring substantial enhancements to the portal by the end of 
2012, which may allow for: 
- access of public institutions and economic contractors to the on-line public 
procurement process; 
- tracking the public procurement process; 
- standardized procurement procedures applicable to public authorities; 
- the possibility for any entity to audit the procurement process; 
- unrestricted access to the procurement documents published by the public 
institutions.",,,,,,,,,TI Romania
Singapore,Yes,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,No,-,,,,,,,,,?
South Africa,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,None,,,,,,,,,?
Tanzania,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Commitments not available,,,,,,,,,?
Belgium ,Yes,,always,always,always,always,always,always,always,always,always,not available,,,,,,,,,,,,,,,,,,,,,,,,,,No,-,,,,,,,,,TI Belgium
Canada ,Yes,,always,always,upon request,always,always,upon request,not available,upon request,always,not available,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,None,,,,,,,,,"Open North, TI Canada"
Egypt,No,,always,always,always,sometimes,always,always,not available,not available,sometimes,not available,,,,,,,,,,,,,,,,,,,,,,,,,,No,-,,,,,,,,,?
Estonia ,Yes,,always,always,always,always,always,upon request,always,always,upon request,always,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Online guidelines on the use of the document of Good Practice of Public Procurement has been drawn up and relevant training has been carried out.,,,,,,,,,TI Estonia
France ,Yes,,always,always,always,sometimes,always,sometimes,sometimes,upon request,always,upon request,,,,,,,,,,,,,,,,,,,,,,,,,,No,-,,,,,,,,,"Regardes Citoyen, TI France"
Iceland ,Yes,,always,always,always,always,always,always,always,always,always,upon request,,,,,,,,,,,,,,,,,,,,,,,,,,No,-,,,,,,,,,?
Mexico ,No,,always,always,always,always,always,always,always,always,sometimes,always,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Commitments in Spanish,,,,,,,,,Transparencia Mexico
Slovak Republic ,Yes,,always,always,always,always,always,upon request,sometimes,not available,always,not available,,,,,,,,,,,,,,,Always,,upon request,,Always,,,,,,,Yes,None,,,,,"http://datanest.fair-play.sk/en/pages/index

tender.sme.sk/en

http://otvorenezmluvy.sk/",,,,"TI Slovakia, Fair-play Alliance"
South Korea,Yes,,always,always,always,always,always,always,always,always,always,always,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"In terms of public procurement, Korea’s Online Procurement System, a single gateway, was formed by digitalizing government procurement procedures and integrating related services. Through the Online Procurement System, entire procurement procedure is processed online and information on participating agencies is disclosed to the public. With a one-time registration, all agencies can take part in any bidding processes, ensuring greater administrative efficiency and transparency in procurement transactions",,,,,,,,,TI South Korea
Sweden,Yes,,always,always,sometimes,sometimes,always,sometimes,sometimes,sometimes,not available,not available,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,None,,,,,,,,,TI Sweden
Switzerland ,Yes,,always,always,always,always,always,always,not available,always,not available,sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,No,-,,,,,,,,,TI Switzerland
